,Dealer,Company,VIP,FEIN,Unnamed: 4,DNI,Peripherals,Service,Owner,Unit ID,Unit,Unit Type,Carrier,Unnamed: 13,Monthly Fee,Billing Group,Billing Period,Last Service Paid Until,Service Paid Until,Serial Number,IMEI,Bill To,Status,Event,Assigned To Company On,Last Event Date,Last Contact On,Last Event Address
15096,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,09I7,SPL006,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764415511,352556102271157,,Active,Travel Stop,6/14/2018 4:44:18 AM,7/16/2025 11:15:45 AM,7/16/2025 11:16:16 AM,"Kr25 12-28, Yumbo, Valle Cauca"
15097,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0A8C,ZAP895,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764401208,354514101234641,TRANSCARGA RG SAS,Active,Parked,8/26/2022 5:20:42 AM,7/16/2025 10:48:03 AM,7/16/2025 10:48:35 AM,"Cl17 34-33, Yumbo, Valle Cauca, Colombia"
15100,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Client,0CGQ,WPK621,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,MOVISTAR CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764415492,352556102310260,,Active,Ignition OFF,6/13/2024 7:13:42 AM,7/16/2025 11:11:49 AM,7/16/2025 11:12:15 AM,# 15-69 1589 1668 161-1689 Calle 9a Calle 9a Calle 9a Carrera 9 
15101,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0DL2,WPK124,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764429083,354514102535046,,Active,Parked,12/16/2019 6:32:22 AM,7/16/2025 9:48:09 AM,7/16/2025 9:48:48 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15104,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAH,TJW560,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,1363112674,359369090064409,,Active,Parked,12/30/2020 4:32:40 AM,7/16/2025 10:24:29 AM,7/16/2025 10:24:55 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15106,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAL,TJV757,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,1363113730,359369090034287,,Active,Travel Start,1/5/2021 6:35:04 AM,7/16/2025 11:15:30 AM,7/16/2025 11:15:46 AM,"Km 95 de la vía Cali - Buenaventura, , Valle del Cauca"
15107,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAM,VMU303,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,47255,,Monthly,12/30/2020 12:00:00 AM,1/28/2021 12:00:00 AM,1363113745,359369090062718,,Active,Parked,12/30/2020 4:33:04 AM,7/16/2025 7:52:10 AM,7/16/2025 7:52:31 AM,"Kr61, Buenaventura, Valle Cauca, Colombia"
15109,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAP,VMU349,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,1363113192,358077091727574,,Active,Travel Start,12/26/2020 9:57:28 AM,7/16/2025 11:15:15 AM,7/16/2025 11:15:55 AM,"Av 40, Buenaventura, Valle Cauca"
15110,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAQ,TJW773,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,1363112679,358077091791174,,Active,Travel Stop,12/28/2020 3:23:44 AM,7/16/2025 11:07:08 AM,7/16/2025 11:07:42 AM,"Av 40, Buenaventura, Valle Cauca, Colombia"
15111,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAR,TJW559,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,1363112765,359369090064193,,Active,Parked,4/14/2021 12:15:13 PM,7/16/2025 9:35:37 AM,7/16/2025 9:36:10 AM,"Carrera 32A # 10-2 a 10-100, Yumbo, Valle Del Cauca, Colombia"
15112,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAS,VMU307,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,12/30/2020 12:00:00 AM,1/28/2021 12:00:00 AM,4764383834,358077093311427,,Active,Parked,12/30/2020 4:32:13 AM,7/16/2025 11:06:20 AM,7/16/2025 11:06:43 AM,"Kr61, Buenaventura, Valle Cauca, Colombia"
15114,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0MAW,TJW772,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,1363113742,359369090062965,,Active,Ignition OFF,12/30/2020 4:32:25 AM,7/16/2025 11:14:47 AM,7/16/2025 11:15:18 AM,"Kr25 12-25, Yumbo, Valle Cauca, Colombia"
15115,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0PVP,ZNK114,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764385090,358077093312268,,Active,Parked,8/30/2022 6:54:35 AM,7/16/2025 7:32:19 AM,7/16/2025 7:32:48 AM,1240 # 12-81 12143 12110-12410 25-60 Calle 13 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15117,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SM5,WPK358,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764401889,354514101220558,,Active,Idle Alert,6/11/2022 7:49:03 AM,7/16/2025 11:15:40 AM,7/16/2025 11:16:12 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15118,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SM6,WPK356,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764401880,354514101220244,,Active,Parked,6/10/2022 12:47:32 PM,7/16/2025 11:11:30 AM,7/16/2025 11:11:50 AM,"Kr61, Buenaventura, Valle Cauca"
15119,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SMB,WPK360,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764401892,354514101225797,,Active,Parked,6/10/2022 7:44:38 AM,7/16/2025 11:12:32 AM,7/16/2025 11:12:54 AM,"Km 14 de la vía Cali - Yumbo - Aeropuerto, , Valle del Cauca, Colombia"
15120,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SMC,WPK355,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764401852,354514101216861,,Active,Parked,6/10/2022 12:35:59 PM,7/16/2025 11:14:45 AM,7/16/2025 11:15:15 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15121,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SMD,WPK359,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764401840,354514101199950,,Active,Parked,6/10/2022 6:43:05 AM,7/16/2025 11:15:38 AM,7/16/2025 11:15:49 AM,16-125 Carrera 34
15122,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SMF,WPK361,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764232064,357041064117610,,Active,Travel Start,6/10/2022 12:33:35 PM,7/16/2025 11:15:20 AM,7/16/2025 11:16:04 AM,"Km 97 de la vía Cali - Buenaventura, , Valle del Cauca"
15123,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SMG,WPK357,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764401617,354514101190884,,Active,Drive,6/10/2022 12:43:13 PM,7/16/2025 11:10:27 AM,7/16/2025 11:10:50 AM,"Av 40, Buenaventura, Valle Cauca"
15124,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,0SSC,KUK402,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764400889,354514101200667,,Active,Idle - Stop,6/22/2022 3:40:04 PM,7/16/2025 11:01:42 AM,7/16/2025 11:02:15 AM,"Km 93 de la vía Cali - Buenaventura, , Valle del Cauca"
15126,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Client,0YE1,WPK622,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764385865,358077093354484,,Active,Drive,6/13/2024 6:13:56 AM,7/16/2025 11:15:22 AM,7/16/2025 11:16:06 AM,"Cl15 25-15, Yumbo, Valle Cauca"
15128,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Client,12NH,SPK374,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764428638,354514102535277,,Active,Parked,7/14/2024 5:57:54 AM,7/16/2025 9:07:14 AM,7/16/2025 9:07:29 AM,"Carrera 61 # 100, Buenaventura, Valle Del Cauca, Colombia"
15129,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,130G,WSJ707,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,2/13/2014 12:00:00 AM,3/14/2014 12:00:00 AM,4764415501,352556102270258,,Active,Parked,2/13/2014 12:38:44 PM,7/16/2025 10:55:25 AM,7/16/2025 10:55:49 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15130,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,130O,SPK381,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,11/20/2012 12:00:00 AM,12/19/2012 12:00:00 AM,4764412791,352556102442451,,Active,Travel Start,11/20/2012 8:45:42 AM,7/16/2025 10:58:32 AM,7/16/2025 10:58:48 AM,"Km 100 de la vía Cali - Buenaventura, , Valle del Cauca"
15131,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,1318,ZNL371,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764400884,354514101225920,,Active,Parked,5/10/2014 5:37:06 AM,7/16/2025 10:23:57 AM,7/16/2025 10:24:25 AM,"Cl12 24-75, Yumbo, Valle Cauca, Colombia"
15137,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,461Q,KUK401,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764343077,359369091285011,,Active,Parked,3/18/2014 8:19:14 AM,7/16/2025 9:12:52 AM,7/16/2025 9:13:24 AM,2580 Calle 13
15139,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,531V,KUM923,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,1363189328,352556102719486,,Active,Travel Stop,11/28/2014 7:48:12 AM,7/15/2025 5:24:58 PM,7/15/2025 5:25:10 PM,"Kr25 12-52, Yumbo, Valle Cauca, Colombia"
15141,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,661X,KUM924,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764412708,352556102300279,,Active,Parked,7/18/2023 5:45:59 AM,7/16/2025 9:11:33 AM,7/16/2025 9:11:57 AM,"Kr25 12-44, Yumbo, Valle Cauca, Colombia"
15142,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,661Z,KUN167,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764347367,358077092254446,,Active,Parked,11/26/2014 11:44:25 AM,7/16/2025 8:18:32 AM,7/16/2025 8:19:03 AM,"Kr32 13-54, Yumbo, Valle Cauca"
15143,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,723B,WHV058,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764383836,358077093314850,,Active,Parked,11/11/2015 1:21:30 AM,7/16/2025 10:30:10 AM,7/16/2025 10:30:40 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15145,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,746W,TEP569,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764428394,354514102534411,,Active,Travel Start,1/8/2015 5:26:10 AM,7/16/2025 11:16:40 AM,7/16/2025 11:17:03 AM,"Km 95 de la vía Cali - Buenaventura, , Valle del Cauca"
15146,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,830V,WPK313,CalAmp 2630 - CDMA - LMU2630CV-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764395837,358077093580088,,Active,Parked,3/8/2022 5:28:53 AM,7/16/2025 11:11:49 AM,7/16/2025 11:12:15 AM,"Cl45a 1a-28, Cali, Valle Cauca"
15148,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,Q831,SPK378,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764383719,358077093408504,,Active,Parked,9/29/2013 7:06:09 AM,7/16/2025 11:11:42 AM,7/16/2025 11:12:13 AM,2580 Calle 13
15149,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,S581,KUK529,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764428702,354514102533561,,Active,Parked,9/19/2011 5:21:01 AM,7/16/2025 11:02:47 AM,7/16/2025 11:03:16 AM,"Kr61, Buenaventura, Valle Cauca, Colombia"
15151,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,S607,WSJ704,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764401419,354514101191742,,Active,Parked,9/19/2011 5:20:52 AM,7/16/2025 10:13:37 AM,7/16/2025 10:14:00 AM,1240 # 12-81 12143 12110-12410 25-60 Calle 13 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15152,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,S619,VMT695,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,9/21/2011 12:00:00 AM,10/20/2011 12:00:00 AM,4764429104,354514102543453,,Active,Parked,9/21/2011 2:13:18 PM,7/16/2025 8:05:18 AM,7/16/2025 8:05:31 AM,"Kr61, Buenaventura, Valle Cauca, Colombia"
15156,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,T813,KUK350,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764413892,352556102460883,,Active,Parked,3/24/2019 9:05:10 AM,7/16/2025 8:53:31 AM,7/16/2025 8:53:53 AM,Km 23 Autopista Cali - Jamundi
15157,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,T818,KUM673,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4634379445,351628093210881,,Active,Parked,10/15/2011 7:38:45 AM,7/16/2025 11:11:45 AM,7/16/2025 11:12:14 AM,"South America, Valle del Cauca"
15161,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,T889,KUK527,CalAmp 2630 - 3G - LMU2631H-H000-G1000,MOVISTAR CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764383735,58077093311922,,Active,Parked,1/16/2019 12:54:37 PM,7/16/2025 10:39:23 AM,7/16/2025 10:39:38 AM,"Kr25 12-46, Yumbo, Valle Cauca, Colombia"
15162,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,T904,SPK364,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764402176,354514101230128,,Active,Parked,6/14/2018 6:24:16 AM,7/16/2025 9:46:27 AM,7/16/2025 9:46:46 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15163,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Fuel Sensor - 004034, Panic Button, ",PLAN PROFESIONAL,Renting,T912,SPK362,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764343084,359369091290946,,Active,Parked,10/25/2011 8:43:59 AM,7/16/2025 11:12:03 AM,7/16/2025 11:12:23 AM,"Kr25 12-48, Yumbo, Valle Cauca, Colombia"
15164,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,T919,KUK530,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764400576,354514101226571,,Active,Parked,10/15/2011 7:54:25 AM,7/16/2025 7:24:22 AM,7/16/2025 7:24:47 AM,"Kr61, Buenaventura, Valle Cauca, Colombia"
15165,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,T921,KUK765,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764413886,352556102460628,,Active,Parked,10/11/2011 7:47:40 AM,7/16/2025 10:19:30 AM,7/16/2025 10:19:58 AM,"Km 2 de la vía Villa Rica - Caloto, , Cauca, Colombia"
15167,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,T956,TJX988,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764400542,354514101217935,,Active,Parked,9/9/2014 2:15:37 PM,7/16/2025 10:45:36 AM,7/16/2025 10:46:05 AM,"Carrera 61 # 100, Buenaventura, Valle Del Cauca, Colombia"
15169,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U709,WPK632,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764281753,357041067732704,,Active,Parked,12/3/2011 9:25:54 AM,7/16/2025 11:00:21 AM,7/16/2025 11:00:47 AM,17-28 Carrera 15
15170,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U714,KUK375,CalAmp 2630 - 3G - LMU2631H-H000-G1000,Claro CO,,47255,,Monthly,11/30/2011 12:00:00 AM,12/29/2011 12:00:00 AM,4764401395,354514101221580,,Active,Idle Alert,11/30/2011 10:46:04 AM,7/16/2025 11:16:24 AM,7/16/2025 11:16:48 AM,"Cordoba - Loboguerrero, Buenaventura, Valle del Cauca, Colombia"
15171,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U750,VMT696,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764383606,358077093310635,,Active,Parked,11/22/2011 11:59:29 AM,7/16/2025 9:44:05 AM,7/16/2025 9:44:38 AM,12 40 1240 1241 12107-121 # 12-81 Carrera 25 Carrera 25 Carrera 25 Carrera 25 Carrera 25 
15173,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U776,KUN046,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764385893,358077093312649,,Active,Idle Alert,11/5/2011 12:37:13 PM,7/16/2025 11:13:17 AM,7/16/2025 11:13:57 AM,13-2 Carrera 25a
15174,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U788,KUK349,CalAmp 2630 - CINTERION GSM - LMU30H30BT3-G1000,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764400583,354514101230755,,Active,Idle - Stop,12/2/2011 11:45:30 AM,7/16/2025 11:15:19 AM,7/16/2025 11:16:00 AM,"Kr60, Buenaventura, Valle Cauca"
15175,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U864,SPK373,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,8/1/2012 12:00:00 AM,8/31/2012 12:00:00 AM,4764428580,354514102530443,,Active,Parked,1/10/2012 5:08:11 AM,7/16/2025 8:51:02 AM,7/16/2025 8:51:20 AM,"Kr25 12-25, Yumbo, Valle Cauca"
15178,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U911,KUK348,CalAmp 4232 - 3G - LMU4232H-RH00-G1000,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4864054924,357041069273772,,Active,Parked,7/18/2023 5:50:59 AM,7/16/2025 8:23:38 AM,7/16/2025 8:24:05 AM,"Kr25 12-10, Yumbo, Valle Cauca, Colombia"
15179,TSO Mobile - Colombia,TRANSCARGA RG SAS,VIP,805000977,,,"Panic Button, ",PLAN PROFESIONAL,Renting,U920,WPK631,CalAmp 2630 - GEMALTO HSPA -LMU26H3001-JAM01,Claro CO,,47255,,Monthly,3/15/2022 12:00:00 AM,4/14/2022 12:00:00 AM,4764400555,354514101226282,,Active,Travel Stop,7/18/2023 5:49:27 AM,7/16/2025 11:15:41 AM,7/16/2025 11:15:52 AM,"Km 102 de la vía Cali - Buenaventura, , Valle del Cauca"
